Date,Description,Amount,Category,Notes
2024-01-15,Starbucks Coffee,-5.50,Food & Dining,Morning coffee
2024-01-16,Salary Deposit,3000.00,Income,Monthly salary
2024-01-17,Electric Bill,-125.00,Utilities,January bill
2024-01-18,Grocery Store,-87.32,Groceries,Weekly shopping
2024-01-19,Gas Station,-45.00,Transportation,Fuel
2024-01-20,Restaurant,-62.50,Food & Dining,Dinner with friends
2024-01-21,Online Shopping,-129.99,Shopping,New headphones
2024-01-22,Gym Membership,-50.00,Health & Fitness,Monthly fee
2024-01-23,Coffee Shop,-4.25,Food & Dining,Afternoon coffee
2024-01-24,Freelance Payment,500.00,Income,Project completion
